Mesh	Morph	Category	Section	Label	Recognized
Female	Nose Bridge To Cheek Depth	Head	Nose	Bridge To Cheek Depth	true
Female	Nose Bridge Slope	Head	Nose	Bridge Slope	true
Female	Nose Bridge Size	Head	Nose	Bridge Size	true
Female	Nose Bridge Lower Width	Head	Nose	Bridge Lower Width	true
Female	Nose Bridge Lower Slope	Head	Nose	Bridge Lower Slope	true
Female	Nose Bridge Depth	Head	Nose	Bridge Depth	true
Female	Nose Bridge Definition	Head	Nose	Bridge Definition	true
Female	Nose Bridge Bump	Head	Nose	Bridge Bump	true
Female	Nose Base Size	Head	Nose	Base Size	true
Female	Nose Base Pinched	Head	Nose	Base Pinched	true
Female	Nose Base Height	Head	Nose	Base Height	true
Female	Nose Base Flesh Size	Head	Nose	Base Flesh Size	true
Female	Nose Base Angle	Head	Nose	Base Angle	true
Female	Mouth Width	Head	Mouth & Lips	Mouth Width	true
Female	Mouth Size	Head	Mouth & Lips	Mouth Size	true
Female	Mouth Height	Head	Mouth & Lips	Mouth Height	true
Female	Mouth Depth	Head	Mouth & Lips	Mouth Depth	true
Female	Mouth Below Size Outer	Head	Mouth & Lips	Mouth Below Size Outer	true
Female	Mouth Below Size Inner	Head	Mouth & Lips	Mouth Below Size Inner	true
Female	Mouth Below Hollow	Head	Mouth & Lips	Mouth Below Hollow	true
Female	Mouth Aperture Curve Upper	Head	Mouth & Lips	Mouth Aperture Curve Upper	true
Female	Mouth Aperture Curve	Head	Mouth & Lips	Mouth Aperture Curve	true
Female	Mouth Above Size Outer	Head	Mouth & Lips	Mouth Above Size Outer	true
Female	Mouth Above Size Inner	Head	Mouth & Lips	Mouth Above Size Inner	true
Female	Lip Width Upper	Head	Mouth & Lips	Lip Width Upper	true
Female	Lip Width Lower	Head	Mouth & Lips	Lip Width Lower	true
Female	Lip Top Peak	Head	Mouth & Lips	Lip Top Peak	true
Female	Lip Thin Upper Outer	Head	Mouth & Lips	Lip Thin Upper Outer	true
Female	Lip Thin Upper Inner	Head	Mouth & Lips	Lip Thin Upper Inner	true
Female	Lip Thin Lower Outer	Head	Mouth & Lips	Lip Thin Lower Outer	true
Female	Lip Thin Lower Inner	Head	Mouth & Lips	Lip Thin Lower Inner	true
Female	Lip Thin	Head	Mouth & Lips	Lip Thin	true
Female	Lip Square	Head	Mouth & Lips	Lip Square	true
Female	Lip Size Upper	Head	Mouth & Lips	Lip Size Upper	true
Female	Lip Size Lower	Head	Mouth & Lips	Lip Size Lower	true
Female	Lip Heart	Head	Mouth & Lips	Lip Heart	true
Female	Lip Depth Upper	Head	Mouth & Lips	Lip Depth Upper	true
Female	Lip Depth Lower	Head	Mouth & Lips	Lip Depth Lower	true
Female	Lip Border Curve Upper	Head	Mouth & Lips	Lip Border Curve Upper	true
Female	Jaw Whole Width	Head	Jaw & Chin	Jaw Whole Width	true
Female	Jaw Whole Size	Head	Jaw & Chin	Jaw Whole Size	true
Female	Jaw Whole Sharpen	Head	Jaw & Chin	Jaw Whole Sharpen	true
Female	Jaw Whole Height	Head	Jaw & Chin	Jaw Whole Height	true
Female	Jaw to Neck Slack	Head	Jaw & Chin	Jaw to Neck Slack	true
Female	Jaw Slack	Head	Jaw & Chin	Jaw Slack	true
Female	Jaw Rear Width	Head	Jaw & Chin	Jaw Rear Width	true
Female	Jaw Rear Height	Head	Jaw & Chin	Jaw Rear Height	true
Female	Jaw Rear Define	Head	Jaw & Chin	Jaw Rear Define	true
Female	Jaw Middle Curve	Head	Jaw & Chin	Jaw Middle Curve	true
Female	Forehead Whole Width	Head	Forehead	Forehead Whole Width	true
Female	Forehead Whole Thin	Head	Forehead	Forehead Whole Thin	true
Female	Forehead Whole Round	Head	Forehead	Forehead Whole Round	true
Female	Forehead Whole Flat	Head	Forehead	Forehead Whole Flat	true
Female	Forehead Upper Thin	Head	Forehead	Forehead Upper Thin	true
Female	Face Young	Head	General	Face Young	true
Female	Face Square	Head	General	Face Square	true
Female	Face Size	Head	General	Face Size	true
Female	Face Round	Head	General	Face Round	true
Female	Face Older	Head	General	Face Older	true
Female	Face Heart	Head	General	Face Heart	true
Female	Face Flat	Head	General	Face Flat	true
Female	Face Depth	Head	General	Face Depth	true
Female	Face Center Depth	Head	General	Face Center Depth	true
Female	Face Angle	Head	General	Face Angle	true
Female	Eye Whole Width	Head	Eyes	Eye Whole Width	true
Female	Eye Whole Size	Head	Eyes	Eye Whole Size	true
Female	Eye Whole Height	Head	Eyes	Eye Whole Height	true
Female	Eye Whole Depth	Head	Eyes	Eye Whole Depth	true
Female	Eye Whole Angle	Head	Eyes	Eye Whole Angle	true
Female	Eye Socket Whole Depth	Head	Eyes	Eye Socket Whole Depth	true
Female	Eye Socket Puffy Upper	Head	Eyes	Eye Socket Puffy Upper	true
Female	Eye Socket Puffy Lower	Head	Eyes	Eye Socket Puffy Lower	true
Female	Eye Socket Lower Depth	Head	Eyes	Eye Socket Lower Depth	true
Female	Eye Socket Inner Depth	Head	Eyes	Eye Socket Inner Depth	true
Female	Eyelid Thickness	Head	Eyelids	Thickness	true
Female	Eyelid Fold Toward	Head	Eyelids	Fold Toward	true
Female	Eyelid Fold Thickness	Head	Eyelids	Fold Thickness	true
Female	Eyelid Fold Inner Toward	Head	Eyelids	Fold Inner Toward	true
Female	Eyelid Crease Upper Smooth	Head	Eyelids	Crease Upper Smooth	true
Female	Eyelid Crease Upper Outer Height	Head	Eyelids	Crease Upper Outer Height	true
Female	Eyelid Crease Upper Inner Height	Head	Eyelids	Crease Upper Inner Height	true
Female	Eyelid Crease Upper Height	Head	Eyelids	Crease Upper Height	true
Female	Eyelid Crease Upper Deepen	Head	Eyelids	Crease Upper Deepen	true
Female	Eyelid Crease Lower Height	Head	Eyelids	Crease Lower Height	true
Female	Eyelid Crease Lower Deepen	Head	Eyelids	Crease Lower Deepen	true
Female	Eyelid Angle Upper Outer	Head	Eyelids	Angle Upper Outer	true
Female	Eyelid Angle Lower Outer	Head	Eyelids	Angle Lower Outer	true
Female	Eye Lacrimal Size	Head	Eyes	Eye Lacrimal Size	true
Female	Eye Lacrimal Pinch	Head	Eyes	Eye Lacrimal Pinch	true
Female	Eye Lacrimal Inner Height	Head	Eyes	Eye Lacrimal Inner Height	true
Female	Eye Angle Outer	Head	Eyes	Eye Angle Outer	true
Female	Eye Angle Inner	Head	Eyes	Eye Angle Inner	true
Female	Eye Almond Outer	Head	Eyes	Eye Almond Outer	true
Female	Eye Almond Inner	Head	Eyes	Eye Almond Inner	true
Female	Ear Size Upper	Head	Ears	Ear Size Upper	true
Female	Ear Size Lower	Head	Ears	Ear Size Lower	true
Female	Earlobe Size	Head	Ears	Earlobe Size	true
Female	Earlobe Length	Head	Ears	Earlobe Length	true
Female	Earlobe Attached	Head	Ears	Earlobe Attached	true
Female	Ear Height	Head	Ears	Ear Height	true
Female	Ear Elf Long	Head	Ears	Ear Elf Long	true
Female	Ear Elf	Head	Ears	Ear Elf	true
Female	Ear Depth	Head	Ears	Ear Depth	true
Female	Cranium Slope	Head	Skull	Cranium Slope	true
Female	Cranium Size	Head	Skull	Cranium Size	true
Female	Cranium Height	Head	Skull	Cranium Height	true
Female	Chin Width	Head	Jaw & Chin	Chin Width	true
Female	Chin to Lip Sharpen	Head	Jaw & Chin	Chin to Lip Sharpen	true
Female	Chin to Lip Depth	Head	Jaw & Chin	Chin to Lip Depth	true
Female	Chin Height	Head	Jaw & Chin	Chin Height	true
Female	Chin Depth	Head	Jaw & Chin	Chin Depth	true
Female	Chin Cleft	Head	Jaw & Chin	Chin Cleft	true
Female	Cheek to Lip Depth	Head	Cheeks	Cheek to Lip Depth	true
Female	Cheek to Jaw Size	Head	Cheeks	Cheek to Jaw Size	true
Female	Cheek Tear Trough	Head	Cheeks	Cheek Tear Trough	true
Female	Cheek Slack	Head	Cheeks	Cheek Slack	true
Female	Cheek Size	Head	Cheeks	Cheek Size	true
Female	Cheek Sink	Head	Cheeks	Cheek Sink	true
Female	Cheek Nasolabial Size Upper	Head	Cheeks	Cheek Nasolabial Size Upper	true
Female	Cheek Nasolabial Size Lower	Head	Cheeks	Cheek Nasolabial Size Lower	true
Female	Cheek Middle Size	Head	Cheeks	Cheek Middle Size	true
Female	Cheek Middle Round	Head	Cheeks	Cheek Middle Round	true
Female	Cheek Middle Diagonal Bisect	Head	Cheeks	Cheek Middle Diagonal Bisect	true
Female	Cheek Lower Size	Head	Cheeks	Cheek Lower Size	true
Female	Cheek Crease Depth	Head	Cheeks	Cheek Crease Depth	true
Female	Cheekbone Upper Arch Size	Head	Cheeks	Cheekbone Upper Arch Size	true
Female	Cheekbone Thin	Head	Cheeks	Cheekbone Thin	true
Female	Cheekbone Size	Head	Cheeks	Cheekbone Size	true
Female	Brow Whole Width	Head	Brow	Whole Width	true
Female	Brow Whole Size	Head	Brow	Whole Size	true
Female	Brow Whole Height	Head	Brow	Whole Height	true
Female	Brow Temple Narrow	Head	Brow	Temple Narrow	true
Female	Brow Skin Slack	Head	Brow	Skin Slack	true
Female	Brow Sharpen	Head	Brow	Sharpen	true
Female	Brow Arch Size Outer	Head	Brow	Arch Size Outer	true
Female	Brow Arch Size Inner	Head	Brow	Arch Size Inner	true
Female	Brow Above Depth Outer	Head	Brow	Above Depth Outer	true
Female	Brow Above Depth Inner	Head	Brow	Above Depth Inner	true
Female	Jaw Open Wide	Head	Jaw & Chin	Jaw Open Wide	true
Female	Jaw Open	Head	Jaw & Chin	Jaw Open	true
Female	Eye Blink Right	Head	Eyes	Eye Blink Right	true
Female	Eye Blink Left	Head	Eyes	Eye Blink Left	true
Female	Pectorals Width	Body	Chest	Pectorals Width	true
Female	Pectorals Under Curve	Body	Chest	Pectorals Under Curve	true
Female	Pectorals Size	Body	Chest	Pectorals Size	true
Female	Pectorals Sag	Body	Chest	Pectorals Sag	true
Female	Pectorals Height Outer	Body	Chest	Pectorals Height Outer	true
Female	Pectorals Height	Body	Chest	Pectorals Height	true
Female	Pectorals Diameter	Body	Chest	Pectorals Diameter	true
Female	Pectorals Cleavage	Body	Chest	Pectorals Cleavage	true
Female	Body Stocky	Body	General & Proportions	Body Stocky	true
Female	Body Portly	Body	General & Proportions	Body Portly	true
Female	Nipples Diameter Feminine	Body	Breasts & Nipples	Nipples Diameter Feminine	true
Female	Nipples Areolae Diameter Feminine	Body	Breasts & Nipples	Nipples Areolae Diameter Feminine	true
Female	Nipples Areolae Depth Feminine	Body	Breasts & Nipples	Nipples Areolae Depth Feminine	true
Female	Breasts Small	Body	Breasts & Nipples	Breasts Small	true
Female	Breasts Sides Depth	Body	Breasts & Nipples	Breasts Sides Depth	true
Female	Breasts Shape 06	Body	Breasts & Nipples	Breasts Shape 06	true
Female	Breasts Shape 05	Body	Breasts & Nipples	Breasts Shape 05	true
Female	Breasts Shape 04	Body	Breasts & Nipples	Breasts Shape 04	true
Female	Breasts Shape 03	Body	Breasts & Nipples	Breasts Shape 03	true
Female	Breasts Shape 02	Body	Breasts & Nipples	Breasts Shape 02	true
Female	Breasts Shape 01	Body	Breasts & Nipples	Breasts Shape 01	true
Female	Breasts Perk Side	Body	Breasts & Nipples	Breasts Perk Side	true
Female	Breasts Natural	Body	Breasts & Nipples	Breasts Natural	true
Female	Breasts Large High	Body	Breasts & Nipples	Breasts Large High	true
Female	Breasts Large	Body	Breasts & Nipples	Breasts Large	true
Female	Breasts Heavy	Body	Breasts & Nipples	Breasts Heavy	true
Female	Breasts Gone	Body	Breasts & Nipples	Breasts Gone	true
Female	Breasts Fullness Upper	Body	Breasts & Nipples	Breasts Fullness Upper	true
Female	Breasts Fullness Lower	Body	Breasts & Nipples	Breasts Fullness Lower	true
Female	Breasts Downward Slope	Body	Breasts & Nipples	Breasts Downward Slope	true
Female	Breasts Diameter	Body	Breasts & Nipples	Breasts Diameter	true
Female	Breasts Cleavage	Body	Breasts & Nipples	Breasts Cleavage	true
Female	Body Voluptuous	Body	General & Proportions	Body Voluptuous	true
Female	Body Pear Figure	Body	General & Proportions	Body Pear Figure	true
Female	Breasts Width	Body	Breasts & Nipples	Breasts Width	true
Female	Breasts Point	Body	Breasts & Nipples	Breasts Point	true
Female	Breasts Large Extra	Body	Breasts & Nipples	Breasts Large Extra	true
Female	Waist Width Upper	Body	Abdomen & Waist	Waist Width Upper	true
Female	Waist Width	Body	Abdomen & Waist	Waist Width	true
Female	Waist Depth	Body	Abdomen & Waist	Waist Depth	true
Female	Upper Arm Taper Width	Body	Arms	Upper Arm Taper Width	true
Female	Traps Size	Body	Shoulders	Traps Size	true
Female	Thigh Tone	Body	Legs	Thigh Tone	true
Female	Thigh Depth	Body	Legs	Thigh Depth	true
Female	Taper UpperArm B	Body	Arms	Taper UpperArm B	true
Female	Taper UpperArm A	Body	Arms	Taper UpperArm A	true
Female	Taper Thigh B	Body	Legs	Taper Thigh B	true
Female	Taper Thigh A	Body	Legs	Taper Thigh A	true
Female	Taper Shin B	Body	Legs	Taper Shin B	true
Female	Taper Shin A	Body	Legs	Taper Shin A	true
Female	Taper Neck B	Body	Neck	Taper Neck B	true
Female	Taper Neck A	Body	Neck	Taper Neck A	true
Female	Taper Forearm B	Body	Arms	Taper Forearm B	true
Female	Taper Forearm A	Body	Arms	Taper Forearm A	true
Female	Stomach Soften	Body	Abdomen & Waist	Stomach Soften	true
Female	Stomach Depth Lower	Body	Abdomen & Waist	Stomach Depth Lower	true
Female	Stomach Depth	Body	Abdomen & Waist	Stomach Depth	true
Female	Sternum Width	Body	Chest	Sternum Width	true
Female	Sternum Height	Body	Chest	Sternum Height	true
Female	Sternum Depth	Body	Chest	Sternum Depth	true
Female	Scapula Size	Body	Back	Scapula Size	true
Female	Scapula Depth	Body	Back	Scapula Depth	true
Female	Ribcage Size	Body	Chest	Ribcage Size	true
Female	Ribcage Pointed	Body	Chest	Ribcage Pointed	true
Female	Ribcage Arched	Body	Chest	Ribcage Arched	true
Female	Pregnant	Body	Abdomen & Waist	Pregnant	true
Female	Navel Vertical HD	Body	Abdomen & Waist	Navel Vertical HD	true
Female	Navel Size HD	Body	Abdomen & Waist	Navel Size HD	true
Female	Navel Out HD	Body	Abdomen & Waist	Navel Out HD	true
Female	Navel Horizontal HD	Body	Abdomen & Waist	Navel Horizontal HD	true
Female	Navel Hollow HD	Body	Abdomen & Waist	Navel Hollow HD	true
Female	Navel Depth HD	Body	Abdomen & Waist	Navel Depth HD	true
Female	Nails Length Square	Body	Hands & Nails	Nails Length Square	true
Female	Nails Length Sharp	Body	Hands & Nails	Nails Length Sharp	true
Female	Nails Length Round	Body	Hands & Nails	Nails Length Round	true
Female	Mass Upper Torso	Body	General & Proportions	Mass Upper Torso	true
Female	Mass Upper Arms	Body	Arms	Mass Upper Arms	true
Female	Mass Thighs	Body	Legs	Mass Thighs	true
Female	Mass Shoulders	Body	Shoulders	Mass Shoulders	true
Female	Mass Shins	Body	Legs	Mass Shins	true
Female	Mass Neck	Body	Neck	Mass Neck	true
Female	Mass Lower Torso	Body	General & Proportions	Mass Lower Torso	true
Female	Mass Knees	Body	Legs	Mass Knees	true
Female	Mass Forearms	Body	Arms	Mass Forearms	true
Female	Mass Feet	Body	Feet	Mass Feet	true
Female	Mass Ankles	Body	Feet	Mass Ankles	true
Female	Lats Size	Body	Back	Lats Size	true
Female	Knee Bones Size	Body	Legs	Knee Bones Size	true
Female	Hip V Define	Body	Hips & Glutes	Hip V Define	true
Female	Hip Size	Body	Hips & Glutes	Hip Size	true
Female	Hip Pelvic Tilt	Body	Hips & Glutes	Hip Pelvic Tilt	true
Female	Hip Genital Bulge	Body	Hips & Glutes	Hip Genital Bulge	true
Female	Hip Bone Size	Body	Hips & Glutes	Hip Bone Size	true
Female	Hip Bone Crest	Body	Hips & Glutes	Hip Bone Crest	true
Female	Hip Back Dimples	Body	Hips & Glutes	Hip Back Dimples	true
Female	Glute Width	Body	Hips & Glutes	Glute Width	true
Female	Glute Size	Body	Hips & Glutes	Glute Size	true
Female	Glute Depth Upper	Body	Hips & Glutes	Glute Depth Upper	true
Female	Glute Depth Lower	Body	Hips & Glutes	Glute Depth Lower	true
